;Désignation;Compte;Rubrique;Emplacement;Colonne1;Code d'idenification;FOURNISSEUR;Date d'achat;Mis en service;Fin amort.;Durée;Cout d'acquisition en USD ;Taux USD / CDF ;Taux d'amortissement ;Cout d'acquisition en CDF ;mois;prorata;Amortissement 2023;Cumul Amort 2023;VNC 2023;Amortissement 2024;Cumul Amort 2024;VNC 2024;Coéfficient de Révaluation;VBR;CV;AR;CA;SA;ER;
;ANKAII AUTOBUS ;245100;3902BP/01;OPERATION;LA83G2ME4NA500722;TA/245100/2022/2001/011;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3922BP/01;OPERATION;LA83G2ME4NA500705;TA/245100/2022/2001/012;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6083BP/01;OPERATION;LA83G2ME2NA500752;TA/245100/2022/2001/013;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6080BP/01;OPERATION;LA83G2ME3NA500730;TA/245100/2022/2001/014;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6079BP/01;OPERATION;LA83G2ME1NA500743;TA/245100/2022/2001/015;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3911BP/01;OPERATION;LA83G2ME4NA500753;TA/245100/2022/2001/016;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6066BP/01;OPERATION;LA83G2ME7NA500763;TA/245100/2022/2001/017;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3923BP/01;OPERATION;LA83G2ME4NA500736;TA/245100/2022/2001/018;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6085BP/01;OPERATION;LA83G2ME2NA500749;TA/245100/2022/2001/019;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6057BP/01;OPERATION;LA83G2ME0NA500734;TA/245100/2022/2001/020;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6062BP/01;OPERATION;LA83G2ME8NA500691;TA/245100/2022/2001/021;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6010BP/01;OPERATION;LA83G2ME5NA500602;TA/245100/2022/2001/022;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6062BP/01;OPERATION;LA83G2ME6NA500706;TA/245100/2022/2001/023;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME8NA500741;TA/245100/2022/2001/024;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME8NA500772;TA/245100/2022/2001/025;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6040BP/01;OPERATION;LA83G2ME0NA500765;TA/245100/2022/2001/026;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3916BP/01;OPERATION;LA83G2ME7NA500777;TA/245100/2022/2001/027;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME6NA500771;TA/245100/2022/2001/028;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3915BP/01;OPERATION;LA83G2ME2NA500766;TA/245100/2022/2001/029;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3904BP/01;OPERATION;LA83G2ME8NA500707;TA/245100/2022/2001/030;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2MEXNA500756;TA/245100/2022/2001/031;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3899BP/01;OPERATION;LA83G2ME1NA500774;TA/245100/2022/2001/032;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3908BP/01;OPERATION;LA83G2MEXNA500708;TA/245100/2022/2001/033;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3906BP/01;OPERATION;LA83G2ME9NA500760;TA/245100/2022/2001/034;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME6NA500768;TA/245100/2022/2001/035;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME5NA500776;TA/245100/2022/2001/036;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6075BP/01;OPERATION;LA83G2ME0NA500751;TA/245100/2022/2001/037;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6086BP/01;OPERATION;LA83G2ME5NA500681;TA/245100/2022/2001/038;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6051BP/01;OPERATION;LA83G2ME0NA500717;TA/245100/2022/2001/039;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6084BP/01;OPERATION;LA83G2ME4NA500770;TA/245100/2022/2001/040;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME3NA500680;TA/245100/2022/2001/041;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME2NA500735;TA/245100/2022/2001/042;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME5NA500745;TA/245100/2022/2001/043;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME1NA500757;TA/245100/2022/2001/044;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6055BP/01;OPERATION;LA83G2MEXNA500689;TA/245100/2022/2001/045;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME6NA500737;TA/245100/2022/2001/046;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6081BP/01;OPERATION;LA83G2ME7NA500746;TA/245100/2022/2001/047;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6044BP/01;OPERATION;LA83G2ME7NA500696;TA/245100/2022/2001/048;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME8NA500688;TA/245100/2022/2001/049;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME1NA500712;TA/245100/2022/2001/050;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6047BP/01;OPERATION;LA83G2ME9NA500702;TA/245100/2022/2001/051;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6058BP/01;OPERATION;LA83G2ME4NA500719;TA/245100/2022/2001/052;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6068BP/01;OPERATION;LA83G2ME9NA500683;TA/245100/2022/2001/053;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME6NA500690;TA/245100/2022/2001/054;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME2NA500685;TA/245100/2022/2001/055;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME7NA500715;TA/245100/2022/2001/056;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME1NA500693;TA/245100/2022/2001/057;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3914BP/01;OPERATION;LA83G2ME2NA500721;TA/245100/2022/2001/058;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6043BP/01;OPERATION;LA83G2MEXNA500711;TA/245100/2022/2001/059;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;3843BP/01;OPERATION;LA83G2ME5NA500700;TA/245100/2022/2001/060;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6078BP/01;OPERATION;LA83G2ME0NA500703;TA/245100/2022/2001/061;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;Sans;OPERATION;LA83G2ME4NA500656;TA/245100/2022/2001/062;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6048BP/01;OPERATION;LA83G2ME5NA500731;TA/245100/2022/2001/063;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6059BP/01;OPERATION;LA83G2ME3NA500684;TA/245100/2022/2001/064;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
;ANKAII AUTOBUS ;245100;6072BP/01;OPERATION;LA83G2MEXNA500739;TA/245100/2022/2001/065;C2 Stars & Sumec Hong Kong  Compagny;06/03/2023;06/03/2023;06/03/2028;5,00;141 567,00;2 365,95;20,00;334 940 443,65;3;10;66 988 088,73;66 988 088,73;267 952 354,92; 	66 988 088,73 FC ; 	133 976 177,46 FC ; 	200 964 266,19 FC ;1,3;435 422 576,75;100 482 133,10;174 169 030,70;40 192 853,24;0,00;60 289 279,86;
